City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1275,mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,broken clouds
1276,buraydah,SA,26.326,43.975,45.05,41,29,8.08,scattered clouds
1277,hargeysa,SO,9.56,44.065,52.3,63,72,12.84,broken clouds
1278,ponta do sol,PT,32.6667,-17.1,58.01,78,79,3.98,broken clouds
1279,tondi,IN,9.7333,79.0167,78.26,70,15,12.91,few clouds
1280,lagoa,PT,39.05,-27.9833,58.93,73,29,17.52,scattered clouds
1281,vestmannaeyjar,IS,63.4427,-20.2734,42.58,92,100,25.28,overcast clouds
1282,ampanihy,MG,-24.7,44.75,65.88,88,0,5.99,clear sky
1283,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
1284,aksu,CN,41.1231,80.2644,22.6,54,0,1.54,clear sky
1285,rundu,NA,-17.9333,19.7667,66.96,89,100,3.27,moderate rain
1286,trinidad,BO,-14.8333,-64.9,76.41,88,88,2.51,overcast clouds
1287,vila velha,BR,-20.3297,-40.2925,77.95,84,0,1.01,clear sky
1288,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1289,mosquera,CO,4.7059,-74.2302,54.63,90,99,0.67,overcast clouds
1290,leh,IN,34.1667,77.5833,-11.97,65,5,3.65,clear sky
1291,berlevag,NO,70.8578,29.0864,27.3,88,100,4.16,light snow
1292,saint-philippe,RE,-21.3585,55.7679,72.99,83,53,8.32,light rain
1293,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1294,iranduba,BR,-3.2847,-60.1861,77.29,95,100,2.46,light rain
